Commune,Total,x,y,ID
Avegno Gordevio,1435,8.74309,46.22604,1018
Terre di Pedemonte,2577,8.72402,46.19281,1017
Centovalli,1129,8.65902,46.16036,983
Gambarogno,5091,8.83055,46.11221,1084
Bex,7166,7.0098,46.24965,221
Chessel,391,6.89696,46.3496,163
Corbeyrier,410,6.96017,46.35013,191
Gryon,1257,7.05975,46.27377,254
Lavey-Morcles,890,7.03631,46.20871,220
Leysin,2674,7.01151,46.34183,223
Ollon,6786,6.99314,46.29524,222
Ormont-Dessous,1114,7.07022,46.3766,256
Ormont-Dessus,1457,7.16285,46.34693,288
Rennaz,834,6.91604,46.3748,164
Roche (VD),1524,6.93272,46.36091,191
Villeneuve (VD),5461,6.92654,46.39869,164
Yvorne,1006,6.95872,46.33122,190
Apples,1330,6.42889,46.55237,59
Aubonne,3219,6.39155,46.49514,50
Ballens,505,6.3731,46.55485,51
Berolle,291,6.33628,46.55857,45
Bière,1553,6.33362,46.53761,44
Bougy-Villars,482,6.35359,46.48188,50
Féchy,853,6.37397,46.47636,50
Gimel,1812,6.30736,46.50945,44
Longirod,464,6.25843,46.49497,36
Marchissy,449,6.24659,46.48811,36
Mollens (VD),295,6.3632,46.5776,52
Montherod,492,6.3615,46.5017,50
Saint-Livres,711,6.38753,46.50794,50
Saint-Oyens,346,6.30334,46.49937,44
Saubraz,386,6.3307,46.51635,44
Avenches,4017,7.04071,46.88004,233
Cudrefin,1501,7.01855,46.95577,235
Faoug,858,7.07803,46.90829,266
Vully-les-Lacs,2807,7.01245,46.92098,234
Bettens,557,6.57342,46.62831,81
Bournens,372,6.56406,46.60894,81
Boussens,960,6.58596,46.6035,81
La Chaux (Cossonay),421,6.47223,46.61844,60
Chavannes-le-Veyron,120,6.45086,46.607,60
Cossonay,3639,6.50631,46.61443,70
Cottens (VD),473,6.4564,46.57251,59
Cuarnens,436,6.43859,46.62545,60
Daillens,940,6.54871,46.62115,81
Eclépens,1036,6.53579,46.64819,71
Ferreyres,311,6.48485,46.65886,71
Gollion,866,6.50974,46.58518,70
Grancy,396,6.46391,46.59214,59
Lussery-Villars,421,6.52555,46.63284,71
Mauraz,49,6.42108,46.60582,60
Mex (VD),669,6.55452,46.57592,80
Moiry,289,6.4537,46.65026,60
Mont-la-Ville,383,6.40898,46.64661,53
Montricher,957,6.37695,46.60005,52
Orny,359,6.52639,46.66758,71
Pampigny,1122,6.42941,46.58093,59
Penthalaz,3198,6.52519,46.61077,70
Penthaz,1652,6.54135,46.59875,70
Pompaples,787,6.51009,46.66758,71
La Sarraz,2516,6.51077,46.65863,71
Senarclens,432,6.48537,46.59786,70
Sévery,227,6.44171,46.57347,59
Sullens,924,6.56687,46.59557,80
Vufflens-la-Ville,1195,6.53716,46.57515,80
Assens,1026,6.62184,46.61301,92
Bercher,1128,6.70833,46.69218,106
Bioley-Orjulaz,447,6.59849,46.62138,81
Bottens,1223,6.66149,46.61596,92
Bretigny-sur-Morrens,768,6.64314,46.59981,92
Cugy (VD),2712,6.64089,46.58624,92
Echallens,5586,6.63317,46.6413,93
Essertines-sur-Yverdon,944,6.6447,46.71767,94
Etagnières,1140,6.60646,46.60152,92
Fey,636,6.68027,46.67383,106
Froideville,2427,6.68457,46.60015,104
Morrens (VD),1053,6.62229,46.59089,92
Oulens-sous-Echallens,525,6.57703,46.64378,81
Pailly,533,6.6754,46.70123,106
Penthéréaz,389,6.6039,46.68171,82
Poliez-Pittet,806,6.68813,46.62735,105
Rueyres,265,6.69213,46.69337,106
Saint-Barthélemy (VD),730,6.60212,46.63484,81
Villars-le-Terroir,1030,6.64389,46.65817,93
Vuarrens,913,6.64793,46.68578,94
Montilliez,1654,6.67991,46.64601,105
Goumoëns,1016,6.60398,46.65922,93
Bonvillars,502,6.67128,46.83976,109
Bullet,605,6.55403,46.83119,85
Concise,949,6.71968,46.85027,109
Corcelles-près-Concise,328,6.69988,46.85326,109
Fiez,417,6.62333,46.82716,96
Fontaines-sur-Grandson,191,6.59985,46.85618,97
Grandevent,232,6.60324,46.83793,85
Grandson,3209,6.646,46.80946,96
Mauborget,119,6.61632,46.8559,97
Mutrux,154,6.72659,46.88085,110
Novalles,102,6.59506,46.82837,85
Onnens (VD),490,6.68896,46.83894,109
Sainte-Croix,4679,6.50283,46.82203,74
Tévenon,793,6.63414,46.86462,97
Belmont-sur-Lausanne,3576,6.67636,46.51891,103
Cheseaux-sur-Lausanne,4281,6.60587,46.58624,92
Crissier,7382,6.57125,46.55165,80
Epalinges,9144,6.66829,46.55177,91
Jouxtens-Mézery,1414,6.59605,46.55185,91
Lausanne,132019,6.63282,46.516,90
Le Mont-sur-Lausanne,7150,6.63145,46.55815,91
Paudex,1489,6.66819,46.50548,90
Prilly,11901,6.60456,46.53698,91
Pully,17452,6.66183,46.51027,90
Renens (VD),20265,6.5881,46.53989,79
Romanel-sur-Lausanne,3309,6.60453,46.56667,91
Chexbres,2137,6.77805,46.48208,122
Forel (Lavaux),2083,6.81667,46.55,144
Lutry,9470,6.68647,46.50241,103
Puidoux,2849,6.78249,46.50093,122
Rivaz,362,6.77878,46.47629,122
Saint-Saphorin (Lavaux),381,6.79318,46.47902,143
Bourg-en-Lavaux,5204,6.70901,46.49575,102
Aclens,516,6.51091,46.56825,69
Bremblens,507,6.52062,46.54665,69
Buchillon,623,6.42271,46.47062,57
Bussigny,8200,6.55597,46.5511,80
Bussy-Chardonney,377,6.44097,46.53086,58
Chavannes-près-Renens,7286,6.57068,46.53005,79
Chigny,331,6.47659,46.51971,58
Denens,708,6.45289,46.51771,58
Denges,1653,6.53932,46.52198,79
Echandens,2648,6.53704,46.53947,69
Echichens,2480,6.49681,46.53031,69
Ecublens (VD),11489,6.56261,46.52899,79
Etoy,2793,6.41816,46.48587,57
Lavigny,920,6.41091,46.50118,50
Lonay,2530,6.51944,46.52877,69
Lully (VD),760,6.46479,46.50513,58
Lussy-sur-Morges,627,6.45,46.50409,58
Morges,15371,6.49854,46.51127,68
Préverenges,5236,6.52682,46.51854,68
Reverolle,357,6.44054,46.54276,58
Romanel-sur-Morges,458,6.51059,46.55657,69
Saint-Prex,5528,6.45992,46.47963,57
Saint-Sulpice (VD),3818,6.55897,46.51047,79
Tolochenaz,1852,6.47279,46.50504,68
Vaux-sur-Morges,203,6.46393,46.53853,58
Villars-Sainte-Croix,709,6.56325,46.56734,80
Villars-sous-Yens,564,6.43015,46.50694,58
Vufflens-le-Château,820,6.47206,46.52627,58
Vullierens,451,6.48193,46.57397,69
Yens,1379,6.4185,46.51901,58
Boulens,324,6.71909,46.68225,106
Brenles,142,6.8538,46.67114,147
Bussy-sur-Moudon,198,6.80959,46.69047,147
Chavannes-sur-Moudon,222,6.80964,46.65874,147
Chesalles-sur-Moudon,166,6.83655,46.67465,147
Cremin,58,6.8425,46.72414,148
Curtilles,311,6.84505,46.70108,147
Dompierre (VD),247,6.88313,46.70829,170
Forel-sur-Lucens,152,6.82421,46.72635,148
Hermenches,364,6.76271,46.64027,125
Lovatens,150,6.86072,46.69203,147
Lucens,3293,6.83931,46.70854,148
Moudon,5754,6.80127,46.66947,147
Ogens,283,6.72448,46.70844,126
Prévonloup,171,6.88529,46.70081,170
Rossenges,65,6.77597,46.6535,125
Sarzens,80,6.84738,46.68134,147
Syens,139,6.77689,46.64406,125
Villars-le-Comte,150,6.80136,46.7131,126
Vucherens,543,6.77987,46.62319,124
Montanaire,2408,6.75493,46.69719,126
Arnex-sur-Nyon,219,6.18989,46.3729,24
Arzier-Le Muids,2538,6.20813,46.45962,26
Begnins,1793,6.24762,46.44152,35
Bogis-Bossey,887,6.16603,46.35374,24
Borex,1074,6.1762,46.37891,24
Chavannes-de-Bogis,1295,6.15448,46.34004,14
Chavannes-des-Bois,870,6.1367,46.31692,14
Chéserex,1189,6.17397,46.39928,25
Coinsins,435,6.23733,46.42335,35
Commugny,2850,6.17119,46.32105,23
Coppet,3102,6.19114,46.31682,23
Crans-près-Céligny,2161,6.20532,46.36432,24
Crassier,1172,6.16367,46.37465,24
Duillier,1026,6.22979,46.40924,34
Eysins,1501,6.20695,46.3817,24
Founex,3598,6.19243,46.33277,23
Genolier,1909,6.21809,46.43537,35
Gingins,1217,6.17809,46.4091,25
Givrins,971,6.20213,46.42969,25
Gland,12698,6.2701,46.42082,42
Grens,386,6.19114,46.39401,25
Mies,1933,6.16332,46.30355,23
Nyon,19935,6.23955,46.38318,34
Prangins,4010,6.2496,46.39518,34
La Rippe,1141,6.15046,46.38096,15
Saint-Cergue,2417,6.15737,46.4459,26
Signy-Avenex,501,6.20417,46.39263,25
Tannay,1586,6.17732,46.30876,23
Trélex,1421,6.20813,46.41538,25
Le Vaud,1240,6.23603,46.47753,36
Vich,893,6.25013,46.42925,35
Agiez,308,6.50751,46.72103,72
Arnex-sur-Orbe,614,6.51687,46.69,72
Ballaigues,1046,6.41556,46.73055,62
Baulmes,1025,6.52279,46.79031,74
Bavois,941,6.5671,46.68403,82
Bofflens,186,6.49478,46.7031,72
Bretonnières,251,6.46964,46.71236,72
Chavornay,4156,6.5694,46.70244,82
Les Clées,179,6.47141,46.73308,62
Corcelles-sur-Chavornay,336,6.60463,46.70273,94
Croy,315,6.47676,46.695,72
Juriens,301,6.44569,46.68846,61
Lignerolle,389,6.45842,46.74291,62
Montcherand,474,6.5082,46.73363,73
Premier,185,6.44991,46.70575,61
Rances,460,6.52966,46.76068,73
Romainmôtier-Envy,528,6.46086,46.69393,61
Sergey,144,6.50127,46.7493,73
Valeyres-sous-Rances,600,6.5354,46.74824,73
Vallorbe,3636,6.37894,46.71256,54
Vaulion,488,6.38941,46.68913,54
Vuiteboeuf,545,6.55043,46.80922,84
Carrouge (VD),1206,6.77067,46.60457,124
Corcelles-le-Jorat,421,6.72625,46.6338,105
Essertes,326,6.78645,46.56194,123
Ferlens (VD),335,6.7808,46.58808,124
Maracon,444,6.87097,46.55,167
Mézières (VD),1203,6.76575,46.59148,124
Montpreveyres,623,6.74114,46.58264,124
Ropraz,407,6.75347,46.61462,124
Vulliens,460,6.79596,46.62405,146
Jorat-Menthue,1520,6.72437,46.63641,105
Champtauroz,133,6.78558,46.75888,127
Corcelles-près-Payerne,2210,6.96231,46.83322,200
Grandcour,850,6.9284,46.87185,173
Henniez,338,6.88696,46.74219,171
Payerne,9352,6.93608,46.82201,200
Treytorrens (Payerne),122,6.80476,46.77215,149
Valbroye,2950,6.89202,46.7249,170
Château-d'Oex,3318,7.13155,46.47455,258
Rossinière,542,7.08205,46.46695,258
Allaman,391,6.3964,46.47008,49
Bursinel,471,6.30581,46.43957,42
Bursins,777,6.29139,46.45276,43
Burtigny,328,6.25706,46.46754,35
Dully,640,6.29461,46.43143,42
Essertines-sur-Rolle,696,6.31765,46.49307,43
Luins,630,6.27275,46.44203,35
Mont-sur-Rolle,2554,6.33516,46.4702,43
Perroy,1464,6.36622,46.46821,49
Rolle,5690,6.33499,46.4582,43
Tartegnin,230,6.31246,46.46623,43
Vinzel,349,6.27817,46.44827,35
Le Chenit,4594,6.23062,46.60688,38
Blonay,5997,6.89615,46.46778,165
Chardonne,2747,6.8268,46.47676,143
Corseaux,2119,6.82942,46.47222,143
Corsier-sur-Vevey,3417,6.87104,46.49441,166
Jongny,1477,6.84114,46.47883,143
Montreux,23558,6.91143,46.43301,165
Saint-Légier-La Chiésaz,4936,6.89817,46.48993,166
La Tour-de-Peilz,11382,6.85856,46.45312,165
Vevey,18890,6.84345,46.46299,143
Veytaux,864,6.93048,46.42129,192
Belmont-sur-Yverdon,369,6.62467,46.74184,95
Bioley-Magnoux,201,6.71082,46.72593,107
Chamblon,563,6.60256,46.77906,84
Champvent,614,6.57188,46.7829,84
Chavannes-le-Chêne,277,6.77793,46.77696,127
Chêne-Pâquier,124,6.76937,46.77149,127
Cheseaux-Noréaz,660,6.68934,46.78935,108
Cronay,364,6.70297,46.75683,107
Cuarny,214,6.69207,46.76988,108
Démoret,123,6.76086,46.74691,127
Donneloye,766,6.7164,46.74551,107
Ependes (VD),346,6.6081,46.7428,95
Essert-Pittet,164,6.58334,46.72754,83
Mathod,579,6.56472,46.76638,84
Molondin,222,6.74457,46.7591,127
Montagny-près-Yverdon,711,6.61222,46.79289,96
Oppens,182,6.69168,46.71396,107
Orges,275,6.58348,46.80927,84
Orzens,212,6.67892,46.72282,107
Pomy,731,6.66908,46.75856,95
Rovray,175,6.76445,46.78489,127
Suscévaz,195,6.58289,46.76335,84
Treycovagnes,463,6.61244,46.77387,95
Ursins,206,6.65231,46.74715,95
Valeyres-sous-Montagny,660,6.60369,46.80046,96
Valeyres-sous-Ursins,245,6.65231,46.74715,95
Villars-Epeney,90,6.69762,46.78261,108
Vugelles-La Mothe,134,6.57376,46.82497,85
Yverdon-les-Bains,29206,6.64115,46.77852,95
Yvonand,3105,6.74249,46.80034,128
Brig-Glis,12592,7.98333,46.31667,698
Eggerberg,344,7.87625,46.3068,636
Naters,9669,7.98912,46.32536,698
Ried-Brig,2029,8.01752,46.31376,698
Simplon,318,8.05753,46.19451,725
Termen,889,8.02097,46.32688,698
Zwischbergen,84,8.11575,46.16366,754
Chamoson,3547,7.22319,46.20275,317
Conthey,8373,7.30283,46.2237,347
Nendaz,6094,7.31209,46.18993,346
Vétroz,5845,7.27858,46.22171,347
Bagnes,7978,7.21667,46.08333,314
Liddes,746,7.18729,45.99249,281
Orsières,3169,7.14437,46.02903,282
Sembrancher,972,7.15279,46.07752,283
Vollèges,1876,7.1755,46.09196,283
Bellwald,405,8.16144,46.42757,759
Blitzingen,74,8.2019,46.4436,786
Ernen,504,8.14166,46.39684,759
Fiesch,916,8.13533,46.39981,759
Fieschertal,317,8.14542,46.422,759
Niederwald,47,8.18994,46.43536,786
Grafschaft,194,8.20553,46.46421,786
Münster-Geschinen,445,8.26356,46.48688,812
Reckingen-Gluringen,436,8.24164,46.46989,812
Obergoms,643,8.3707,46.53308,863
Les Agettes,337,7.37147,46.21198,377
Ayent,3865,7.41028,46.28249,408
Evolène,1684,7.49407,46.11422,435
Hérémence,1299,7.40477,46.18032,406
Saint-Martin (VS),843,7.44427,46.1727,406
Vex,1779,7.39826,46.21239,406
Mont-Noble,1016,7.49047,46.20747,437
Agarn,763,7.66322,46.29749,536
Albinen,241,7.63318,46.34071,503
Ergisch,185,7.71307,46.29098,536
Inden,120,7.61739,46.34438,503
Leuk,3843,7.63412,46.31736,503
Leukerbad,1459,7.62687,46.37943,504
Oberems,124,7.69352,46.28188,536
Salgesch,1439,7.5712,46.31155,470
Varen,603,7.60743,46.3186,503
Guttet-Feschel,415,7.667,46.32533,537
Gampel-Bratsch,1899,7.7421,46.31599,570
Turtmann-Unterems,1104,7.702,46.30028,536
Bovernier,844,7.08584,46.07901,250
Charrat,1645,7.13138,46.1249,284
Fully,8418,7.09365,46.17894,252
Isérables,853,7.24474,46.16228,316
Leytron,3047,7.2078,46.1866,316
Martigny,17254,7.07245,46.10276,251
Martigny-Combe,2313,7.05099,46.07817,218
Riddes,2884,7.2236,46.17276,316
Saillon,2468,7.18771,46.17035,316
Saxon,5497,7.17514,46.14937,284
Trient,173,6.99395,46.05798,185
Champéry,1335,6.86903,46.17543,160
Collombey-Muraz,8577,6.94789,46.27385,189
Monthey,17321,6.95406,46.25451,189
Port-Valais,3362,7.32676,46.21959,377
Saint-Gingolph,878,6.80594,46.39217,120
Troistorrents,4468,6.91589,46.2289,161
Val-d'Illiez,1873,6.891,46.2036,160
Vionnaz,2514,6.90062,46.31101,162
Vouvry,3930,6.8895,46.33746,163
Bister,31,8.06445,46.36033,728
Grengiols,430,8.093,46.37395,758
Riederalp,498,8.02611,46.37637,699
Ausserberg,626,7.85299,46.31386,636
Blatten,285,7.81746,46.4207,604
Bürchen,731,7.81506,46.28053,602
Eischoll,449,7.77995,46.29352,602
Ferden,244,7.75921,46.39359,571
Kippel,349,7.77194,46.39885,604
Niedergesteln,679,7.78364,46.31243,602
Raron,1880,7.8,46.3,602
Unterbäch,410,7.79918,46.2843,602
Wiler (Lötschen),570,7.78161,46.40315,604
Mörel-Filet,685,8.05316,46.36073,728
Steg-Hohtenn,1543,7.75573,46.31893,570
Bettmeralp,444,8.06254,46.39022,729
Collonges,713,7.03425,46.17204,220
Dorénaz,859,7.04292,46.14892,219
Evionnaz,1186,7.02232,46.18096,220
Finhaut,351,6.97777,46.08381,185
Massongex,1761,6.98885,46.24267,221
Salvan,1312,7.02078,46.1189,219
Vernayaz,1861,7.03906,46.13667,219
Vérossaz,705,6.9863,46.21221,188
Chalais,3371,7.51145,46.26758,438
Chermignon,3101,7.47487,46.28844,438
Chippis,1618,7.53962,46.2802,470
Grône,2304,7.45947,46.25288,438
Icogne,557,7.44054,46.29193,408
Miège,1337,7.54701,46.31119,470
Mollens (VS),970,7.52121,46.31652,439
Randogne,2956,7.50058,46.30952,439
Saint-Léonard,2250,7.41714,46.25152,407
Sierre,16484,7.53559,46.29192,470
Venthône,1197,7.52924,46.30665,470
Anniviers,2698,7.71597,46.10137,566
Arbaz,1185,7.38542,46.2781,378
Grimisuat,3176,7.38408,46.25938,378
Savièse,7317,7.34558,46.25115,378
Sion,32692,7.35559,46.22739,377
Veysonnaz,590,7.33556,46.19521,377
Baltschieder,1299,7.8657,46.30888,636
Eisten,196,7.89282,46.20075,634
Embd,285,7.8267,46.21503,600
Grächen,1341,7.83745,46.19529,600
Lalden,664,7.90235,46.29951,667
Randa,444,7.85862,46.09413,632
Saas-Almagell,391,7.95736,46.09347,663
Saas-Balen,367,7.92698,46.15439,664
Saas-Fee,1606,7.92741,46.10805,663
Saas-Grund,1031,7.93651,46.12281,664
St. Niklaus,2267,7.80349,46.17717,600
Stalden (VS),1082,7.87273,46.23341,634
Staldenried,546,7.88269,46.22937,634
Täsch,1216,7.77766,46.06838,598
Törbel,465,7.85239,46.23837,634
Visp,7478,7.88149,46.2937,635
Visperterminen,1377,7.90192,46.25899,635
Zeneggen,287,7.86535,46.27341,635
Zermatt,5742,7.74863,46.01998,564
Bevaix,3776,6.8147,46.92958,152
Boudry,5607,6.83757,46.94991,152
Brot-Dessous,101,6.74775,46.95586,131
Corcelles-Cormondrèche,4677,6.86774,46.98125,175
Cortaillod,4747,6.8444,46.94306,152
Fresens,216,6.74843,46.8874,129
Gorgier,1991,6.77985,46.90143,130
Montalchez,243,6.74331,46.89885,130
Saint-Aubin-Sauges,2471,6.77251,46.89419,130
Vaumarcus,276,6.75728,46.87909,129
Milvignes,8993,6.85719,46.9722,175
La Chaux-de-Fonds,38211,6.82586,47.09993,155
Les Planchettes,218,6.77025,47.10616,134
La Sagne,945,6.80946,47.04591,154
Les Brenets,1036,6.70727,47.06708,113
La Brévine,635,6.60639,46.98055,99
Brot-Plamboz,270,6.74784,46.98541,131
Le Cerneux-Péquignot,320,6.67069,47.01585,112
La Chaux-du-Milieu,499,6.70724,47.01257,112
Le Locle,10234,6.75228,47.05953,133
Les Ponts-de-Martel,1267,6.73356,46.99925,132
Cornaux,1580,7.01872,47.0396,236
Cressier (NE),1876,7.03731,47.05154,237
Enges,278,7.01657,47.06673,237
Hauterive (NE),2598,6.97615,47.01233,203
Le Landeron,4444,7.07184,47.0562,269
Neuchâtel,32613,6.931,46.99179,203
Saint-Blaise,3258,6.98472,47.01323,236
Valangin,493,6.90669,47.01606,176
Val-de-Ruz,16454,6.90829,47.04008,176
La Côte-aux-Fées,454,6.49043,46.86744,75
Val-de-Travers,10671,6.67595,46.94018,111
Aire-la-Ville,1131,6.04287,46.19057,6
Avully,1750,6.00459,46.17005,3
Avusy,1418,6.00888,46.14957,2
Bardonnex,2197,6.11833,46.149,10
Bernex,9439,6.07544,46.1765,5
Carouge (GE),19618,6.13921,46.18096,11
Céligny,654,6.195,46.35069,24
Chêne-Bougeries,10537,6.18642,46.19843,21
Chêne-Bourg,8304,6.19406,46.19534,21
Choulex,1123,6.22799,46.22454,31
Collex-Bossy,1632,6.12207,46.27953,13
Collonge-Bellerive,7779,6.19595,46.25039,22
Cologny,5334,6.18041,46.21672,21
Confignon,4438,6.08437,46.17341,5
Corsier (GE),1957,6.22461,46.26297,22
Dardagny,1506,5.99497,46.19564,3
Genève,184304,6.14569,46.20222,11
Genthod,2661,6.15406,46.26642,22
Le Grand-Saconnex,11583,6.12091,46.23188,12
Hermance,977,6.23333,46.3,32
Jussy,1250,6.26701,46.2359,31
Laconnex,654,6.03128,46.157,5
Meyrin,21314,6.08025,46.23424,12
Onex,17978,6.10237,46.18396,11
Perly-Certoux,2988,6.09226,46.15698,5
Plan-les-Ouates,10147,6.11664,46.16789,11
Pregny-Chambésy,3388,6.14239,46.23789,12
Presinge,579,6.25517,46.21975,31
Puplinge,2097,6.23114,46.21043,31
Russin,517,6.01381,46.18696,3
Satigny,3923,6.03553,46.21462,6
Thônex,13611,6.19904,46.18815,21
Troinex,2283,6.14745,46.16313,11
Vandoeuvres,2454,6.20285,46.22179,21
Vernier,33047,6.08497,46.21702,6
Versoix,12401,6.16214,46.28382,22
Boécourt,892,7.21493,47.35138,339
Bourrignon,264,7.24542,47.39551,340
Corban,461,7.47697,47.34638,459
Courchapoix,425,7.45142,47.34734,459
Courrendlin,2721,7.37243,47.33853,399
Courroux,3177,7.37371,47.36069,399
Courtételle,2564,7.31827,47.34074,368
Delémont,12301,7.34453,47.36493,399
Develier,1372,7.29839,47.35773,368
Ederswiler,113,7.33097,47.42389,400
Mervelier,506,7.49969,47.34349,459
Mettembert,107,7.32047,47.39668,400
Movelier,384,7.31719,47.40954,400
Pleigne,358,7.29056,47.40758,369
Rebeuvelier,396,7.40936,47.32477,428
Rossemaison,600,7.3409,47.34434,399
Soyhières,479,7.3662,47.38884,400
Vellerat,69,7.36996,47.32031,398
Haute-Sorne,6742,7.24314,47.31985,338
Val Terbi,2608,7.51099,47.35989,459
Le Bémont (JU),316,7.0152,47.26298,241
Les Breuleux,1506,7.00792,47.21099,240
La Chaux-des-Breuleux,85,7.02829,47.2221,240
Les Enfers,148,7.04302,47.28934,241
Les Genevez (JU),507,7.12961,47.25552,273
Lajoux (JU),652,7.13726,47.27893,306
Muriaux,496,6.9791,47.24575,208
Le Noirmont,1823,6.9573,47.22567,207
Saignelégier,2504,6.99648,47.25619,208
Saint-Brais,234,7.11368,47.30611,274
Soubey,132,7.04886,47.30933,274
Alle,1748,7.12911,47.42618,309
Beurnevésin,126,7.13373,47.4925,310
Bonfol,659,7.15144,47.47735,310
Coeuve,708,7.09794,47.45289,277
Cornol,1016,7.16247,47.40752,308
Courchavon,297,7.0546,47.43952,244
Courgenay,2202,7.12416,47.40365,308
Courtedoux,762,7.04281,47.40819,243
Damphreux,181,7.10694,47.47602,277
Fontenais,1647,7.08191,47.40478,276
Lugnez,184,7.09753,47.48515,277
Porrentruy,6638,7.07638,47.41475,276
Vendlincourt,549,7.14692,47.45193,309
Basse-Allaine,1236,7.04245,47.47051,245
Clos du Doubs,1267,7.12063,47.35095,275
Haute-Ajoie,931,6.99551,47.38657,243
