Commune,Total,x,y,ID
Sils im Engadin/Segl,746,9.76364,46.42886,1464
Silvaplana,1084,9.79514,46.4581,1479
Zuoz,1133,9.95885,46.60209,1509
Bregaglia,1522,9.5,46.33333,1385
Buseno,92,9.10735,46.27381,1228
Rossa,147,9.12363,46.37139,1230
Santa Maria in Calanca,101,9.14886,46.26623,1258
Lostallo,761,9.19663,46.31301,1259
Mesocco,1329,9.23333,46.3939,1289
Soazza,332,9.22199,46.36637,1289
Grono,1003,9.14829,46.24832,1258
Leggia,138,9.16354,46.26315,1258
Roveredo (GR),2444,9.12748,46.23653,1227
San Vittore,757,9.10684,46.23709,1227
Verdabbio,162,9.15723,46.26846,1258
Calanca,185,9.14886,46.26623,1258
Val Müstair,1498,10.44624,46.62683,1581
Davos,11020,9.83723,46.80429,1486
Fideris,589,9.7427,46.91518,1459
Furna,208,9.67874,46.93694,1442
Jenaz,1148,9.71275,46.92892,1459
Klosters-Serneus,3762,9.83826,46.88918,1487
Conters im Prättigau,215,9.78333,46.9,1473
Küblis,855,9.77199,46.91368,1473
Saas,729,7.92741,46.10805,663
Luzein,1202,9.7608,46.91957,1473
St. Antönien,328,9.81234,46.96983,1489
Chur,34004,9.53287,46.84986,1395
Churwalden,1990,9.54377,46.78143,1394
Arosa,3162,9.67621,46.77793,1456
Maladers,502,9.55997,46.83579,1419
Tschiertschen-Praden,308,9.60638,46.81766,1419
Haldenstein,1018,9.52618,46.87867,1396
Trimmis,3174,9.56236,46.89907,1421
Untervaz,2429,9.53422,46.9275,1397
Zizers,3315,9.56491,46.93575,1421
Fläsch,709,9.51365,47.02567,1398
Jenins,903,9.55657,47.00149,1398
Maienfeld,2739,9.53115,47.00472,1398
Malans,2306,9.57527,46.98096,1422
Landquart,8731,9.55472,46.95942,1397
Grüsch,1968,9.64639,46.97965,1443
Schiers,2605,9.6872,46.96973,1460
Seewis im Prättigau,1385,9.63775,46.99023,1443
Breil/Brigels,1232,9.06036,46.76986,1205
Disentis/Mustér,2021,8.8509,46.70341,1095
Medel (Lucmagn),376,8.85515,46.62419,1094
Sumvitg,1194,8.93884,46.72845,1132
Tujetsch,1304,8.7323,46.65046,1026
Trun,1173,8.98716,46.74292,1168
Aarau,20253,8.04422,47.39254,748
Biberstein,1458,8.08302,47.41883,749
Buchs (AG),7605,8.08233,47.39358,748
Densbüren,685,8.0533,47.4526,749
Erlinsbach (AG),3919,8.01515,47.40523,719
Gränichen,7349,8.10243,47.3593,777
Hirschthal,1558,8.05281,47.32178,747
Küttigen,5960,8.04767,47.41566,719
Muhen,3772,8.05408,47.33671,747
Oberentfelden,7600,8.04594,47.35639,718
Suhr,9682,8.07967,47.37172,748
