x,y,ID,h
-176.40888728167636,-64.21299950104218,1,1e-05
-171.40888495067634,-72.87325757704217,2,0.003715997809854609
-171.40888495067634,-67.09975219304218,3,0.009870881337504541
-171.40888495067634,-61.32624680904219,4,1e-05
-166.40888261967635,-69.9865048850422,5,0.045796583660679055
-166.40888261967635,-64.21299950104218,6,0.0995884362152824
-166.40888261967635,-58.43949411704218,7,1e-05
-166.40888261967635,-41.11897796604218,8,1e-05
-166.40888261967635,-35.34547258204219,9,1e-05
-161.4088802886763,-72.87325757704217,10,0.0057519444204870065
-161.4088802886763,-67.09975219304218,11,0.6124405125410652
-161.4088802886763,-61.32624680904219,12,0.09484225002156169
-161.4088802886763,-55.55274142604217,13,0.004275295081581609
-161.4088802886763,-49.77923604204218,14,0.00566831118359325
-161.4088802886763,-44.00573065804219,15,0.0029920476029930247
-161.4088802886763,-38.232225274042165,16,1e-05
-161.4088802886763,-32.45871989004218,17,1e-05
-161.4088802886763,-26.685214507042197,18,1e-05
-161.4088802886763,-20.91170912304218,19,1e-05
-156.4088779566763,-69.9865048850422,20,1e-05
-156.4088779566763,-64.21299950104218,21,0.10517879539389947
-156.4088779566763,-58.43949411704218,22,0.06482053151535584
-156.4088779566763,-52.66598873404219,23,0.03416633665514097
-156.4088779566763,-46.89248335004217,24,0.02005061439066653
-156.4088779566763,-41.11897796604218,25,0.014867967241906524
-156.4088779566763,-35.34547258204219,26,0.012960084025267691
-156.4088779566763,-29.57196719804217,27,1e-05
-156.4088779566763,-23.798461815042188,28,1e-05
-156.4088779566763,-18.02495643104217,29,1e-05
-151.40887562567636,-67.09975219304218,30,1e-05
-151.40887562567636,-61.32624680904219,31,0.013205756658643103
-151.40887562567636,-55.55274142604217,32,0.0025634272639125195
-151.40887562567636,-49.77923604204218,33,1e-05
-151.40887562567636,-44.00573065804219,34,0.06527267370231271
-151.40887562567636,-38.232225274042165,35,0.016571994443616823
-151.40887562567636,-32.45871989004218,36,0.005636948719758091
-151.40887562567636,-26.685214507042197,37,1e-05
-151.40887562567636,-20.91170912304218,38,0.012016596571559995
-151.40887562567636,-15.13820373904219,39,1e-05
