,Affluence,x,y
0,770,47.3359563788, 8.76561022548
1,2100,47.4677359724, 7.60305476436
2,3000,46.4757395273, 6.39970400408
3,3000,47.5504471564, 9.30221759023
4,210,47.4420020412, 9.25200601938
5,1100,47.1831330124, 8.5170440227
6,2200,47.0103066077, 9.50521579767
7,33300,47.476420225, 8.3076927631
8,240,47.1856838433, 8.28020982028
9,1800,47.5378619945, 7.60894180152
10,1000,47.3366812155, 7.24684027661
11,320,47.2044563538, 9.00863107374
12,180700,46.948824497, 7.43911900576
13,670,47.1949438967, 7.42836206864
14,300,47.1583882845, 7.29458712956
15,170,47.2878476573, 8.19899810707
16,190,47.4926207616, 7.01654285948
17,220,46.5097374876, 6.69932418234
18,240,47.6407078714, 9.21308178053
19,210,46.9594442223, 6.83504632593
20,50,46.6531450954, 6.7912628257
21,1500,46.7548403226, 8.03893624435
22,15900,46.3194210071, 7.98809158467
23,520,46.7577632267, 8.13864485952
24,2600,46.9991749288, 8.61004816648
25,14500,47.0606957305, 7.62168894507
26,2700,46.5475795245, 6.55181947041
27,1300,47.1822828869, 8.47144117681
28,6800,47.0977981537, 6.82602846666
29,210,46.8169390093, 6.78639389651
30,240,46.2711806973, 6.94875976335
31,440,47.0385599223, 7.0233637328
32,2400,46.6060023579, 6.5236830353
33,70,47.4558625333, 7.05537172567
34,850,47.2175519872, 7.97901545049
35,750,47.356386391, 7.97875336334
36,140,47.4495555927, 7.8377022189
37,120,46.9461769693, 9.02436242331
38,7300,47.4201947418, 8.61925589067
39,4800,47.488608339, 7.61110691339
40,1300,47.3736425259, 8.23468774088
41,3300,47.0705979582, 8.28255105833
42,110,46.7464094417, 6.60765826253
43,890,46.8203404742, 8.6504428878
44,190,47.6611436806, 8.81859374588
45,130,46.9082315978, 7.07459265792
46,470,47.0966128468, 9.34791662857
47,21600,46.8032670642, 7.15102324519
48,240,47.3137146634, 8.9154940778
49,5200,46.1738183582, 9.00358391238
50,2700,47.0399200317, 9.0715516467
51,710,46.1790452957, 8.86576625228
52,1700,47.4412906001, 7.59198326877
53,540,46.8319680926, 7.06605291011
54,1400,47.3302605109, 7.84380971731
55,920,47.0471709782, 6.87466858452
56,380,47.3894242237, 8.20737399629
57,130,47.1894830754, 7.22538868069
58,500,47.493176824, 9.46337580999
59,1100,47.5812668467, 8.51282074899
60,390,47.0916137781, 8.46266014649
61,10800,46.6905054601, 7.86900513744
62,810,47.5478354373, 8.84618065529
63,550,47.6544006039, 8.57327389271
64,600,47.452833265, 8.70557069755
65,3600,47.433328238, 8.35419430986
66,5000,47.3191528026, 8.58061588761
67,2800,47.190068574, 8.85269238166
68,1100,46.1888976308, 6.12533012554
69,1100,47.056626064, 7.06632947231
70,260,47.6288954671, 9.24694004807
71,11400,47.2173003777, 7.78470885276
72,5400,47.4193383263, 7.50263030739
73,140,46.8284488203, 7.01162043632
74,340,46.9255699583, 8.99777825107
75,300,46.928393834, 9.00248305864
76,360,46.9650649888, 9.0390086553
77,220,47.4451758366, 8.21496733295
78,70,46.1453223595, 8.85017913795
79,230,47.6736499577, 9.05277922071
80,400,47.5828184065, 9.0621817582
81,220,47.5331267043, 9.06921723299
82,120,46.7889298851, 7.09632979027
83,120,47.0501422644, 8.38304450517
84,8000,47.2698122, 8.64429304135
85,70,47.5684839744, 8.35249723256
86,3300,45.8691205007, 8.97860209025
87,500,47.2653781303, 7.83209989652
88,1900,46.9253915414, 7.11537589102
89,1500,47.0987196928, 9.0699449253
90,1500,47.4506605026, 8.33123368601
91,1800,47.4783287603, 8.48869130494
92,690,47.3052431626, 7.77171069136
93,440,47.1552315719, 8.11422262548
94,1000,47.2796754088, 8.57844974795
95,5000,47.2850232125, 7.70985469445
96,50,47.5520637371, 9.06209186806
97,50,46.5725335165, 6.83710274179
98,1300,47.4549348839, 8.38750753521
99,1100,47.4074269011, 8.21478836445
100,540,46.5275264817, 8.6086051345
101,1400,46.9406471179, 8.27524412618
102,410,46.8757407268, 8.63156572016
103,50,46.510616719, 8.69015147937
104,450,47.1806078267, 8.28057856573
105,90,47.5702960042, 7.57251267012
106,170,46.6876714456, 6.55933195932
107,4000,47.3574317945, 8.4375437434
108,920,47.4921416385, 9.24146504156
109,310,46.9689572835, 6.83768561375
110,320,47.3150345145, 8.1845453245
111,3600,47.3258957392, 8.46817514105
112,110,46.7573112501, 8.02036390102
113,20000,47.4808528316, 8.20882744791
114,150,47.4089834328, 7.84778618088
115,17200,47.5239413008, 8.53618858988
116,970,46.4478763825, 6.87711567196
117,530,46.2423769792, 6.14733924476
118,120,46.1888353853, 7.2410985744
119,1700,46.7100764779, 6.56816025319
120,190,46.7492007014, 7.00043211139
121,300,46.9676392173, 6.84886986434
122,160,46.8288436102, 6.9571860007
123,470,46.9833400639, 6.88380561207
124,170,47.1893284366, 7.10729623806
125,50,47.4397614989, 7.05763565777
126,480,47.1756195642, 7.06879653586
127,680,47.3428223281, 7.3179306259
128,290,46.8160232571, 6.88916300569
129,950,47.6670843791, 8.61379705884
130,550,46.9337794802, 8.39205809023
131,410,46.5291203863, 6.54050855527
132,340,46.9855183801, 6.899149402
133,2400,47.5205878296, 8.5870549795
134,260,47.6454101495, 8.87653687685
135,50,46.7276595753, 6.58065762221
136,1200,46.4751599503, 6.42713908598
137,300,46.48307671, 8.79070214577
138,3100,47.3851215525, 8.75026509676
139,480,47.5771019005, 8.94316091804
140,3200,47.4151898192, 9.1897661689
141,1600,46.9017256462, 8.62429304308
142,420,47.2073074882, 8.75619939808
143,1000,47.1213263146, 8.39477668629
144,2100,46.6658163572, 8.58879659143
145,100,46.8706013366, 8.37240400077
146,520,46.4969419201, 6.72264722367
147,4600,47.1887666151, 7.39817426522
148,2200,47.2987825148, 8.44595351443
149,1700,47.1669743615, 8.28868696709
150,610,47.1646547839, 8.29821242385
151,7400,47.2614824887, 8.59690458831
152,1800,47.2587470381, 8.58980260632
153,2000,47.017477083, 8.30697000723
154,1000,47.4672660009, 7.78720690694
155,140,47.5721849532, 9.16976823984
156,8700,47.6525540444, 9.16906514323
157,280,47.6421167081, 9.16318719461
158,130,47.3074690567, 7.94198479051
159,1600,47.3268539021, 8.57595174932
160,850,45.9889500461, 8.94627572854
161,510,47.2171432544, 7.58351524915
162,10300,47.0763151407, 7.30629081519
163,290,47.6441576694, 8.91398444987
164,600,45.9324428303, 8.97393689235
165,410,47.0450427897, 8.37412430654
166,1900,47.244071939, 8.45736538581
167,460,46.0942810833, 8.92858485104
168,530,46.2998757136, 6.1695702204
169,1900,46.2556458933, 6.9552285472
170,130,46.9913737523, 6.84283726495
171,160,47.2442873199, 8.22414905535
172,1200,46.6680516436, 6.80250491145
173,560,47.5881673349, 9.01550138775
174,560,47.6320503917, 9.23610817435
175,2200,47.2766601869, 8.3397982935
176,4700,47.5335803903, 7.64787914262
177,1400,47.0628240754, 7.09522000485
178,450,46.7660458572, 7.06503067751
179,170,46.9858964537, 9.05925879887
180,470,47.122362606, 9.0623744371
181,560,47.2703963923, 7.69480825358
182,1100,47.4874689477, 8.50329612568
183,750,47.5059060903, 8.38104986019
184,130,47.5532223119, 9.2709268739
185,50,47.2388419265, 7.25415352503
186,1900,46.5109189922, 6.65946254087
187,21700,47.2248877672, 8.81673057998
188,230,47.3926373927, 9.58675061708
189,160,47.1257120451, 6.92537048378
190,1200,47.5353542711, 8.7891594117
191,460,46.1725010631, 7.2178509961
192,230,47.6007474568, 8.27730806919
193,880,46.1239793633, 8.92528147891
194,3500,46.4627356609, 6.3364081818
195,770,47.1048571473, 8.37379836133
196,1300,47.4785940343, 9.49290567677
197,12600,47.1417586665, 8.43047453438
198,50,47.5653831658, 8.37365327646
199,9800,47.2604821005, 8.8540677825
200,7000,46.3168441199, 6.9636800936
201,2100,47.5937589886, 8.67797953564
202,200,46.6980662731, 6.51890326658
203,590,47.1537643847, 8.31688138659
204,4800,47.4385636372, 8.62619947666
205,360,46.8169170976, 7.10622789234
206,13400,46.195436816, 9.02950898687
207,290,47.6732101292, 9.02200129854
208,1600,46.351982918, 8.97416705214
209,42800,47.1328920532, 7.24290845288
210,390,47.2236693254, 8.84238332851
211,750,47.305174603, 8.31527271204
212,60,46.7150454119, 6.47473141459
213,100,47.4793218519, 7.02995536103
214,400,47.5560796135, 9.08414102198
215,430,46.9671026797, 6.81225337255
216,290,46.5705277674, 6.81548498756
217,640,46.4810524899, 6.77854229136
218,210,46.8352524718, 6.96028758905
219,70,47.1729358067, 7.05412061848
220,400,46.7512079019, 7.03479684592
221,150,46.8186006837, 6.97748421108
